Mock_1,Mock_2,Mock_3,Mock_4,Mock_5,Mock_6,Mock_7,Mock_8,Mock_9,Mock_10,Mock_11,Mock_12,Mock_13,WNV_TX_1,WNV_TX_2,WNV_TX_3,WNV_TX_4,WNV_TX_5,WNV_TX_6,WNV_TX_7,WNV_TX_8,WNV_TX_9,WNV_TX_10,WNV_TX_11,WNV_TX_12,WNV_TX_13,WNV_TX_14,WNV_TX_15,WNV_TX_16,WNV_MAD_1,WNV_MAD_2,WNV_MAD_3,WNV_MAD_4,WNV_MAD_5,WNV_MAD_6,WNV_MAD_7,WNV_MAD_8,WNV_MAD_9,WNV_MAD_10,WNV_MAD_11,WNV_MAD_12,WNV_MAD_13,WNV_MAD_14,WNV_MAD_15,WNV_MAD_16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0.5,0.5,1,0,1,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,0.5,0.5,0,1,1,0.5,0,0,0,0,1,0,0,0.5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2,3,2,1,1,0.5,0.5,0,1,1,0,0,0,0,1,1,0,0,0.5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1,1,2,1,1,1,2,3,2,2,1,0.5,1,0.5,1,1,1,0,0,0,1,1,0,0,1,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,3,1,1,3,1,1,1,2,4,2,2,2,0.5,1,1,1,1,1,0,1,0,1,1,0.5,0.5,1,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,3,1,1,4,1,1,1,3,3,2,3,4,1,1,0,1,1,1,1,1,0,1,1,0,0.5,1,0.5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,,6,1,1,,1,2,2,3,3,2,6,6,1,1,0.5,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,1,1,,1,2,2,3,3,2,,,1,1,0.5,0.5,0.5,0,1,1,1,1,1,0.5,0.5,1,0.5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,,,1,1,,1,2,2,2,3,2,,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,,,1,1,,2,2,2,1,2,2,,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,,,1,1,,3,3,2,1,2,2,,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,,2,3,,,2,1,,2,2,2,1,2,2,,,1,2,2,1,1,1,1,1,1,1,1,0,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,,2,3,,,2,1,,2,1,1,1,1,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0.5,0.5,0,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,,,2,1,,1,1,1,1,2,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,,,2,1,,1,1,1,1,2,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,1,1,,1,1,1,2,1,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,,,1,1,,1,1,1,1,1,2,,,1,1,1,2,1,1,0,1,1,1,1,0,0,0,0,0
