state,rate
Connecticut,6
Maine,<1
Massachusetts,11
New Hampshire,<1
Rhode Island,1
Vermont,1
New Jersey,14
New York,41
Pennsylvania,21
Illinois,73
Indiana,16
Michigan,39
Ohio,22
Wisconsin,16
Iowa,14
Kansas,15
Minnesota,17
Missouri,13
Nebraska,37
North Dakota,23
South Dakota,26
Delaware,1
District of Columbia,4
Florida,15
Georgia,17
Maryland,15
North Carolina,4
South Carolina,6
Virginia,12
West Virginia,1
Alabama,12
Kentucky,5
Mississippi,35
Tennessee,11
Arkansas,13
Louisiana,46
Oklahoma,30
Texas,204
Arizona,63
Colorado,46
Idaho,7
Montana,5
Nevada,9
New Mexico,14
Utah,7
Wyoming,4
Alaska,<1
California,282
Hawaii,0
Oregon,2
Washington,7
