Mock_1,Mock_2,Mock_3,Mock_4,Mock_5,Mock_6,Mock_7,Mock_8,Mock_9,Mock_10,Mock_11,Mock_12,Mock_13,WNV_TX_1,WNV_TX_2,WNV_TX_3,WNV_TX_4,WNV_TX_5,WNV_TX_6,WNV_TX_7,WNV_TX_8,WNV_TX_9,WNV_TX_10,WNV_TX_11,WNV_TX_12,WNV_TX_13,WNV_TX_14,WNV_TX_15,WNV_TX_16,WNV_MAD_1,WNV_MAD_2,WNV_MAD_3,WNV_MAD_4,WNV_MAD_5,WNV_MAD_6,WNV_MAD_7,WNV_MAD_8,WNV_MAD_9,WNV_MAD_10,WNV_MAD_11,WNV_MAD_12,WNV_MAD_13,WNV_MAD_14,WNV_MAD_15,WNV_MAD_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.65,95.42,98.03,102.22,102.76,101.92,98.33,101.05,102.5,96.14,100.47,104.32,101.57,102.59,98.59,97.05,100,100.36,101.32,97.95,101.67,96.14,101.18,100.98,101.99,101.98,98.92,100.45,100,99.27,98.91,99.64,97.7,99.26,98.8,100.53,100,93.4,106.49,101.03,101.49,97.27,101.16,98.51,99.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96.73,98.43,103.89,102.21,104.49,99.44,103.68,100,97.58,94.81,104.32,104.71,103.33,98.94,98.15,100.42,99.64,99.01,99.49,101.11,97.1,102.94,100,101.99,101.49,100.54,99.55,95.83,101.82,98.91,99.64,99.34,98.15,100,101.59,101,96.95,108.11,101.03,99,99.45,102.89,99,101.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.35,98.04,99.21,103.89,103.31,103.21,99.44,98.95,101,97.58,93.87,101.62,101.57,101.85,99.29,98.89,98.74,100.36,99.67,100,100.56,98.55,101.18,98.54,102.99,103.47,101.08,102.26,97.69,102.92,100,100,100.66,99.26,101.6,102.12,102,95.94,104.86,100.51,101.49,100,104.05,98.51,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.35,99.67,100,104.44,104.97,105.77,99.44,102.11,104,102.42,98.58,107.03,103.66,101.85,101.41,99.26,100.84,101.45,99.67,101.54,101.67,95.65,102.35,100,104.48,102.97,105.38,102.71,100,102.19,98.91,101.81,101.64,100.74,100.8,104.23,100.5,95.94,105.41,98.46,101.99,102.73,103.47,102.49,101.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.12,100,100.39,103.89,106.08,104.49,100,102.11,103.5,99.03,98.11,106.49,103.66,102.96,100.71,99.26,101.26,101.81,99.67,102.05,103.89,97.1,104.12,99.51,100,103.96,107.53,99.55,101.39,102.19,99.28,102.9,100.99,101.48,101.2,101.06,100.5,96.45,105.41,98.46,102.99,104.92,103.47,99.5,102.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.06,98.04,99.21,106.11,107.18,104.49,101.11,103.16,105,98.55,99.53,102.7,104.19,102.96,102.47,98.15,102.93,102.17,100,102.05,105,98.55,104.71,97.07,102.99,98.51,103.23,102.26,101.39,100.73,98.91,101.09,102.3,101.11,100.4,101.06,99.5,95.94,108.65,98.46,104.98,104.92,106.36,102.99,106.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.77,97.71,99.21,96.67,95.03,98.08,92.78,92.11,102.5,101.45,96.7,104.32,103.66,98.52,102.47,99.63,97.49,98.91,100.99,102.56,99.44,96.14,101.76,96.59,98.01,94.55,106.99,97.74,95.83,100.73,97.83,100.72,101.32,98.89,100,104.23,98.5,93.4,110.81,100,101,102.73,106.36,99.5,106.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.41,98.04,100,105.56,109.39,107.05,102.22,104.74,106,102.42,100,109.73,107.33,91.11,100.71,97.42,89.96,93.48,99.34,98.46,90.56,95.65,105.88,98.05,94.03,86.14,109.14,96.83,88.89,101.46,100.36,100,102.96,100.37,100.8,104.23,101.5,96.45,107.57,102.05,101.49,104.92,107.51,102.49,102.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.06,99.35,100.39,105.56,107.73,107.05,102.22,101.58,107.5,104.35,100.94,109.73,105.76,85.19,100,98.15,84.52,89.49,100.33,100.51,86.11,95.65,102.35,100.49,93.53,84.65,108.6,93.67,84.26,101.82,101.09,102.54,103.29,102.58,101.6,100.53,101,95.43,105.41,99.49,103.48,109.84,105.2,102.49,102.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
