Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_009942,West Nile virus,RefSeq,GCF_000875385.1,"Faggioni,G., Pomponi,A., De Santis,R., Masuelli,L., Ciammaruconi,A., Monaco,F., Di Gennaro,A., Marzocchella,L., Sambri,V., Lelli,R., Rezza,G., Bei,R., Lista,F., Borisevich,V., Seregin,A., Nistler,R., Mutabazi,D., Yamshchikov,V.","National Center for Biotechnology Information, NIH",USA,10/19/07,385-99,Orthoflavivirus nilense,11029,complete,USA,USA,,,,
NC_001563,West Nile virus,RefSeq,GCF_000861085.1,"Melian,E.B., Hinzman,E., Nagasaki,T., Firth,A.E., Wills,N.M., Nouwens,A.S., Blitvich,B.J., Leung,J., Funk,A., Atkins,J.F., Hall,R., Khromykh,A.A., Yamshchikov,V.F., Wengler,G., Perelygin,A.A., Brinton,M.A., Compans,R.W., Castle,E.","National Center for Biotechnology Information, NIH",USA,8/3/93,,Orthoflavivirus nilense,10962,complete,,,,,,
OZ223839,West Nile virus 2,GenBank,,"Sladecek,T.","Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,2/15/25,RNA,Orthoflavivirus nilense,10293,complete,Slovakia,Slovakia,,Homo sapiens,,9/13/24
OZ223842,West Nile virus 2,GenBank,,"Sladecek,T.","Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,2/15/25,RNA,Orthoflavivirus nilense,10293,complete,Slovakia,Slovakia,,Homo sapiens,,9/23/24
OZ223850,West Nile virus 2,GenBank,,"Sladecek,T.","Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,2/15/25,RNA,Orthoflavivirus nilense,10293,complete,Slovakia,Slovakia,,Homo sapiens,,9/26/24
PQ793759,West Nile virus,GenBank,,"Christova,I., Stoikov,I., Ngoc,K.","National Center of Infectious and Parasitic Diseases, Microbiology",Bulgaria,2/12/25,BG112-2024,Orthoflavivirus nilense,10960,complete,Bulgaria,Bulgaria,,Homo sapiens,urine,8/15/24
PQ793760,West Nile virus,GenBank,,"Christova,I., Stoikov,I., Ngoc,K.","National Center of Infectious and Parasitic Diseases, Microbiology",Bulgaria,2/12/25,BG123-2024,Orthoflavivirus nilense,10960,complete,Bulgaria,Bulgaria,,Homo sapiens,urine,8/29/24
OM302314,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J., Elizalde,M.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,2/5/25,2442-5_Spain/2016/CV-b/3B_Caceres,Orthoflavivirus nilense,10926,complete,"Spain: Caceres, Extremadura",Spain,,Aegypius monachus,brain,2016
OM302315,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J., Elizalde,M.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,2/5/25,2442-4_Spain/2016/CV-pf_Caceres,Orthoflavivirus nilense,10932,complete,"Spain: Caceres, Extremadura",Spain,,Aegypius monachus,,2016
OM302316,West Nile virus,GenBank,,"Aguilera-Sepulveda,P., Cano-Gomez,C., Villalba,R., Borges,V., Aguero,M., Bravo-Barriga,D., Frontera,E., Jimenez-Clavero,M.A., Fernandez-Pinero,J., Elizalde,M.","Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA-CSIC), Centro de Investigacion en Sanidad Animal (CISA)",Spain,2/5/25,2442-5_Spain/2016/CV-b_Caceres,Orthoflavivirus nilense,10948,complete,"Spain: Caceres, Extremadura",Spain,,Aegypius monachus,brain,2016
